Geolocation,Industry Description,2022 Number of Establishments,2022 Total Employment a/,2022 Paid Employees a/,2022 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2022 Total Revenue,2022 Total Expense,2022 Compensation,2022 Other Expense,2022 Gross Additions to Tangible Fixed Assets,2022 Change in Inventories,2022 Sales from E-Commerce Transactions,2022 Subsidies
PHILIPPINES,Information and Communication,2256,169331,169050,7793,806533913,697457805,164672244,532785561,139483534,-2901286,110270,425354
PHILIPPINES,"..Publishing of books, periodicals and other publishing activities",151,6209,6164,208,14744355,12802663,2940020,9862643,955773,49645,83701,-
PHILIPPINES,..Software publishing,11,1959,1959,91,15600089,10297153,3296303,7000850,88410,-28,-,-
PHILIPPINES,"..Motion picture, video and television programme activities",108,3304,3302,116,7420003,5800070,1700429,4099642,99862,4748,-,-
PHILIPPINES,..Sound recording and music publishing activities,20,488,488,373,2290199,1510740,357342,1153398,23535,-4143,210,-
PHILIPPINES,..Radio broadcasting,411,5707,5664,240,5775732,4638997,1336303,3302694,260382,-96095,-,8641
PHILIPPINES,..Television programming and broadcasting activities,53,8084,8075,57,56828798,44934812,14510675,30424138,1221832,136627,-,66
PHILIPPINES,..Wired telecommunications activities,38,13184,13160,543,143357099,128851772,21877995,106973778,47262482,61510,-,18390
PHILIPPINES,..Wireless telecommunications activities,42,15974,15971,142,282699484,244799629,25832980,218966650,80284633,-11817223,6355,-
PHILIPPINES,..Satellite telecommunications activities,253,6452,6432,107,13019660,9975363,1562117,8413246,1301584,40403,-,-
PHILIPPINES,..Other telecommunications activities,326,9388,9310,3534,37303195,30559796,4429650,26130146,208584,-112598,-,-
PHILIPPINES,"..Computer programming, consultancy and related activities",770,85701,85644,2317,213887679,193105507,80424568,112680939,7445891,8835855,20005,385535
PHILIPPINES,"..Data processing, hosting and related activities; web portals",54,12323,12323,17,12199051,9095965,5814082,3281883,324815,15,-,12722
PHILIPPINES,..Other information service activities,20,558,558,48,1408569,1085337,589782,495555,5752,-,-,-
..National Capital Region,Information and Communication,987,134730,134632,7261,756818499,655808050,152825859,502982191,137268162,-1650227,83978,44352
..National Capital Region,"..Publishing of books, periodicals and other publishing activities",93,5000,4971,161,12802592,11039254,2360369,8678885,715709,47993,77414,-
..National Capital Region,..Software publishing,8,1933,1933,87,15560893,10263750,3286047,6977703,88410,-,-,-
..National Capital Region,"..Motion picture, video and television programme activities",58,2896,2894,73,5786643,4805335,1492837,3312498,64693,2150,-,-
..National Capital Region,..Sound recording and music publishing activities,20,488,488,373,2290199,1510740,357342,1153398,23535,-4143,210,-
..National Capital Region,..Radio broadcasting,36,1726,1726,74,2571341,2115496,478365,1637131,137920,11,-,-
..National Capital Region,..Television programming and broadcasting activities,20,7510,7501,57,55212554,43842128,14186305,29655823,1212789,135957,-,33
..National Capital Region,..Wired telecommunications activities,9,11674,11674,520,140240357,126104552,21427501,104677051,47200646,1027,-,-
..National Capital Region,..Wireless telecommunications activities,28,15707,15707,133,282542220,244668957,25794199,218874759,80284600,-11824302,6355,-
..National Capital Region,..Satellite telecommunications activities,26,1104,1104,9,4874254,3591530,441263,3150266,64361,8129,-,-
..National Capital Region,..Other telecommunications activities,72,6816,6804,3508,35927303,29386049,4012554,25373495,122813,-113696,-,-
..National Capital Region,"..Computer programming, consultancy and related activities",567,72094,72048,2206,188005684,170502655,73895716,96606939,7282047,10096648,-,34589
..National Capital Region,"..Data processing, hosting and related activities; web portals",35,7297,7297,14,9725848,6999083,4555006,2444077,66785,-,-,9730
..National Capital Region,..Other information service activities,17,485,485,47,1278612,978522,538356,440166,3854,-,-,-
..Cordillera Administrative Region,Information and Communication,38,668,654,4,509486,387309,166102,221207,9222,817,-,1000
..Cordillera Administrative Region,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Cordillera Administrative Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
