"Region, Province, and HUC",Number of Families  (In thousands),Average Income (In thousands),Average Expenditure  (In thousands)
Philippines,27480.0,353.23,258.05
NATIONAL CAPITAL REGION,3633.0,513.52,385.05
City of Manila,510.0,482.79,390.2
City of Mandaluyong,141.0,666.02,508.19
City of San Juan,29.0,842.81,648.78
Quezon City,747.0,480.7,392.13
City of Marikina,109.0,556.55,451.14
City of Pasig,221.0,590.37,425.44
City of Caloocan,392.0,393.24,296.9
City of Malabon,90.0,380.6,297.51
City of Navotas,63.0,336.98,275.24
City of Valenzuela,173.0,403.07,305.32
City of Las Piñas,163.0,594.93,391.48
City of Muntinlupa,159.0,506.18,376.15
City of Parañaque,206.0,556.45,384.49
Pasay City,122.0,477.31,332.99
City of Makati,206.0,799.54,506.9
  Pateros,14.0,504.77,363.61
City of Taguig,289.0,519.6,372.21
CORDILLERA ADMINISTRATIVE REGION,464.0,359.24,247.86
ABRA,60.0,274.21,224.48
BENGUET (Excluding City of Baguio),134.0,342.89,237.88
    City of Baguio,107.0,443.2,293.38
IFUGAO,48.0,322.19,200.69
KALINGA,47.0,391.39,273.92
MOUNTAIN PROVINCE,39.0,312.73,216.55
APAYAO,29.0,374.14,253.76
REGION I - ILOCOS REGION,1307.0,339.69,232.44
ILOCOS NORTE,156.0,447.86,302.19
ILOCOS SUR,174.0,355.63,232.07
LA UNION,207.0,393.32,259.35
PANGASINAN,769.0,299.75,211.16
REGION II - CAGAYAN VALLEY,926.0,310.55,214.0
BATANES,6.0,434.32,268.34
CAGAYAN,307.0,330.5,224.57
ISABELA,427.0,299.46,202.22
NUEVA VIZCAYA,138.0,295.27,230.68
QUIRINO,48.0,311.14,196.93
REGION III - CENTRAL LUZON,3123.0,375.24,298.7
AURORA,57.0,305.27,234.77
BATAAN,215.0,387.33,283.2
BULACAN,921.0,371.94,300.02
NUEVA ECIJA,601.0,323.63,255.4
PAMPANGA  (Excluding City of Angeles),583.0,431.51,343.85
    City of Angeles,139.0,501.93,373.41
TARLAC,366.0,367.82,299.67
ZAMBALES (Excluding City of Olongapo),178.0,302.87,257.39
    City of Olongapo,63.0,385.44,331.87
REGION IVA - CALABARZON,4304.0,426.53,310.32
BATANGAS,813.0,402.17,279.71
CAVITE,1152.0,457.62,313.49
LAGUNA,998.0,441.89,332.44
QUEZON (Excluding City of Lucena),495.0,247.11,217.08
    City of Lucena,68.0,361.93,300.7
RIZAL,778.0,506.05,369.37
MIMAROPA REGION,819.0,267.36,189.77
MARINDUQUE,59.0,280.5,222.87
OCCIDENTAL MINDORO,132.0,269.17,190.21
ORIENTAL MINDORO,219.0,266.37,198.3
PALAWAN (Excluding City of Puerto Princesa),249.0,244.42,157.39
    City of Puerto Princesa,81.0,354.52,236.61
ROMBLON,78.0,239.59,194.53
REGION V - BICOL REGION,1374.0,287.47,202.62
ALBAY,311.0,292.12,215.64
CAMARINES NORTE,152.0,286.82,190.37
CAMARINES SUR,452.0,322.29,202.25
CATANDUANES,61.0,282.19,230.91
MASBATE,210.0,250.72,184.02
SORSOGON,188.0,239.54,203.51
REGION VI - WESTERN VISAYAS,1211.0,320.23,229.74
AKLAN,161.0,329.01,247.56
ANTIQUE,151.0,306.64,216.38
CAPIZ,218.0,267.17,225.28
ILOILO (Excluding City of Iloilo),532.0,317.32,214.57
    City of Iloilo,101.0,478.73,306.65
GUIMARAS,49.0,274.65,238.72
NIR - NEGROS ISLAND REGION,1181.0,266.29,203.84
NEGROS OCCIDENTAL (Excluding City of Bacolod),661.0,241.78,201.43
    City of Bacolod,147.0,367.16,292.81
NEGROS ORIENTAL,347.0,263.8,168.82
SIQUIJOR,25.0,354.96,230.26
REGION VII - CENTRAL VISAYAS,1681.0,326.94,218.03
BOHOL,332.0,292.49,193.25
"CEBU (Excluding City of Cebu, City of Lapu-Lapu, City of Mandaue)",849.0,293.38,193.81
    City of Cebu,244.0,386.39,260.13
    City of Lapu-lapu,132.0,428.24,297.73
    City of Mandaue,124.0,424.81,283.03
REGION VIII - EASTERN VISAYAS,1185.0,267.33,199.91
EASTERN SAMAR,136.0,250.69,194.35
LEYTE (Excluding City of Tacloban),507.0,249.97,197.09
    City of Tacloban,58.0,414.03,297.52
NORTHERN SAMAR,145.0,296.49,177.81
SAMAR,196.0,231.43,179.19
SOUTHERN LEYTE,98.0,303.51,230.48
BILIRAN,45.0,307.11,216.82
REGION IX - ZAMBOANGA PENINSULA,897.0,257.14,200.93
ZAMBOANGA DEL NORTE,251.0,237.56,185.95
ZAMBOANGA DEL SUR (Excluding City of Zamboanga),230.0,231.55,165.37
    City of Zamboanga,217.0,296.27,254.24
ZAMBOANGA SIBUGAY,172.0,261.55,199.4
City of Isabela,27.0,314.3,224.2
REGION X - NORTHERN MINDANAO,1236.0,296.5,202.58
BUKIDNON,363.0,254.87,149.05
CAMIGUIN,23.0,324.4,225.08
LANAO DEL NORTE (Excluding City of Iligan),167.0,253.75,184.18
    City of Iligan,90.0,385.26,264.06
MISAMIS OCCIDENTAL,148.0,282.33,243.39
MISAMIS ORIENTAL (Excluding City of Cagayan de Oro),240.0,285.0,193.42
    City of Cagayan de Oro,205.0,386.93,264.37
REGION XI - DAVAO REGION,1469.0,318.95,204.33
DAVAO DEL NORTE,260.0,264.91,219.45
DAVAO DEL SUR (Excluding City of Davao),209.0,292.43,186.72
    City of Davao,564.0,412.91,238.47
DAVAO ORIENTAL,154.0,217.75,157.72
DAVAO DE ORO,195.0,277.72,164.95
DAVAO OCCIDENTAL,86.0,205.8,150.45
REGION XII - SOCCSKSARGEN2/,1138.0,282.44,202.34
COTABATO,347.0,308.53,212.82
SOUTH COTABATO (Excluding City of General Santos),269.0,251.85,199.32
    City of General Santos,173.0,331.82,243.59
SULTAN KUDARAT,201.0,293.83,182.2
SARANGANI,148.0,203.58,162.31
CARAGA,694.0,276.57,213.12
AGUSAN DEL NORTE (Excluding City of Butuan),95.0,247.8,209.88
    City of Butuan,94.0,378.89,283.33
AGUSAN DEL SUR,184.0,224.15,198.15
SURIGAO DEL NORTE,136.0,333.69,208.97
SURIGAO DEL SUR,153.0,247.8,202.66
DINAGAT ISLANDS,31.0,258.84,170.62
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO3/,837.0,206.88,168.91
BASILAN,70.0,197.82,155.02
LANAO DEL SUR,186.0,257.47,217.11
MAGUINDANAO,234.0,156.02,151.45
